vectorization,kernel,degree,C,gamma,class_weight,train_accuracy,train_recall,train_precision,train_f1,test_accuracy,test_recall,test_precision,test_f1
tfidf,linear,X,1.0,0.1,"{0: 1, 1: 1}",0.9663682026643372,0.5182795698924731,0.9717741935483871,0.6760168302945302,0.9539741847826086,0.32620320855614976,0.8652482269503546,0.4737864077669903
tfidf,linear,X,1.0,0.1,"{0: 1, 1: 1}",0.9663682026643372,0.5182795698924731,0.9717741935483871,0.6760168302945302,0.9539741847826086,0.32620320855614976,0.8652482269503546,0.4737864077669903
tfidf,linear,X,1.0,0.1,"{0: 1, 1: 1}",0.9663682026643372,0.5182795698924731,0.9717741935483871,0.6760168302945302,0.9539741847826086,0.32620320855614976,0.8652482269503546,0.4737864077669903
tfidf,linear,X,1.0,1.0,"{0: 1, 1: 1}",0.9663682026643372,0.5182795698924731,0.9717741935483871,0.6760168302945302,0.9539741847826086,0.32620320855614976,0.8652482269503546,0.4737864077669903
tfidf,linear,X,1.0,1.0,"{0: 1, 1: 1}",0.9663682026643372,0.5182795698924731,0.9717741935483871,0.6760168302945302,0.9539741847826086,0.32620320855614976,0.8652482269503546,0.4737864077669903
tfidf,linear,X,1.0,1.0,"{0: 1, 1: 1}",0.9663682026643372,0.5182795698924731,0.9717741935483871,0.6760168302945302,0.9539741847826086,0.32620320855614976,0.8652482269503546,0.4737864077669903
tfidf,linear,X,1.0,0.01,"{0: 1, 1: 3}",0.9813641988789401,0.8666666666666667,0.8592750533049041,0.8629550321199143,0.94921875,0.5187165775401069,0.6198083067092651,0.5647743813682679
tfidf,linear,X,1.0,0.01,"{0: 1, 1: 3}",0.9813641988789401,0.8666666666666667,0.8592750533049041,0.8629550321199143,0.94921875,0.5187165775401069,0.6198083067092651,0.5647743813682679
tfidf,linear,X,1.0,0.01,"{0: 1, 1: 3}",0.9813641988789401,0.8666666666666667,0.8592750533049041,0.8629550321199143,0.94921875,0.5187165775401069,0.6198083067092651,0.5647743813682679
tfidf,linear,X,1.0,0.1,"{0: 1, 1: 3}",0.9813641988789401,0.8666666666666667,0.8592750533049041,0.8629550321199143,0.94921875,0.5187165775401069,0.6198083067092651,0.5647743813682679
tfidf,linear,X,1.0,0.1,"{0: 1, 1: 3}",0.9813641988789401,0.8666666666666667,0.8592750533049041,0.8629550321199143,0.94921875,0.5187165775401069,0.6198083067092651,0.5647743813682679
tfidf,linear,X,1.0,0.1,"{0: 1, 1: 3}",0.9813641988789401,0.8666666666666667,0.8592750533049041,0.8629550321199143,0.94921875,0.5187165775401069,0.6198083067092651,0.5647743813682679
tfidf,linear,X,1.0,1.0,"{0: 1, 1: 3}",0.9813641988789401,0.8666666666666667,0.8592750533049041,0.8629550321199143,0.94921875,0.5187165775401069,0.6198083067092651,0.5647743813682679
tfidf,linear,X,1.0,1.0,"{0: 1, 1: 3}",0.9813641988789401,0.8666666666666667,0.8592750533049041,0.8629550321199143,0.94921875,0.5187165775401069,0.6198083067092651,0.5647743813682679
tfidf,linear,X,1.0,1.0,"{0: 1, 1: 3}",0.9813641988789401,0.8666666666666667,0.8592750533049041,0.8629550321199143,0.94921875,0.5187165775401069,0.6198083067092651,0.5647743813682679
tfidf,linear,X,1.0,0.01,"{0: 1, 1: 5}",0.9785251510519036,0.9516129032258065,0.7797356828193832,0.8571428571428571,0.94140625,0.5855614973262032,0.5354523227383863,0.5593869731800766
tfidf,linear,X,1.0,0.01,"{0: 1, 1: 5}",0.9785251510519036,0.9516129032258065,0.7797356828193832,0.8571428571428571,0.94140625,0.5855614973262032,0.5354523227383863,0.5593869731800766
tfidf,linear,X,1.0,0.01,"{0: 1, 1: 5}",0.9785251510519036,0.9516129032258065,0.7797356828193832,0.8571428571428571,0.94140625,0.5855614973262032,0.5354523227383863,0.5593869731800766
tfidf,linear,X,1.0,0.1,"{0: 1, 1: 5}",0.9785251510519036,0.9516129032258065,0.7797356828193832,0.8571428571428571,0.94140625,0.5855614973262032,0.5354523227383863,0.5593869731800766
tfidf,linear,X,1.0,0.1,"{0: 1, 1: 5}",0.9785251510519036,0.9516129032258065,0.7797356828193832,0.8571428571428571,0.94140625,0.5855614973262032,0.5354523227383863,0.5593869731800766
tfidf,linear,X,1.0,0.1,"{0: 1, 1: 5}",0.9785251510519036,0.9516129032258065,0.7797356828193832,0.8571428571428571,0.94140625,0.5855614973262032,0.5354523227383863,0.5593869731800766
tfidf,linear,X,1.0,1.0,"{0: 1, 1: 5}",0.9785251510519036,0.9516129032258065,0.7797356828193832,0.8571428571428571,0.94140625,0.5855614973262032,0.5354523227383863,0.5593869731800766
tfidf,linear,X,1.0,1.0,"{0: 1, 1: 5}",0.9785251510519036,0.9516129032258065,0.7797356828193832,0.8571428571428571,0.94140625,0.5855614973262032,0.5354523227383863,0.5593869731800766
tfidf,linear,X,1.0,1.0,"{0: 1, 1: 5}",0.9785251510519036,0.9516129032258065,0.7797356828193832,0.8571428571428571,0.94140625,0.5855614973262032,0.5354523227383863,0.5593869731800766
